Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
cc suite,,,2018-05-23 19:58:11,2018-05-23 19:58:13,1.489s,FAILED
,,,,,,
Test Cases/cc,,,2018-05-23 19:58:11,2018-05-23 19:58:12,1.110s,FAILED
openBrowser,,,2018-05-23 19:58:12,2018-05-23 19:58:12,0.892s,FAILED
